municipios_id_municipio,municipios_descripcion_municipio,municipios_descripcion_municipio_texto_libre
301,"Villar de Arnedo, El",
302,Villar de Torre,
303,Villarejo,
304,Villarroya,
305,Villarta-Quintana,
306,Villavelayo,
307,Villaverde de Rioja,
308,Villoslada de Cameros,
309,Viniegra de Abajo,
310,Viniegra de Arriba,
311,Zarratón,
312,Zarzosa,
313,Zorraquí,
314,Abáigar,
315,Abárzuza,
316,Abaurregaina/Abaurrea Alta,
317,Abaurrepea/Abaurrea Baja,
318,Aberin,
319,Ablitas,
320,Adiós,
321,Aguilar de Codés,
322,Aibar/Oibar,
323,Allí,
324,Allo,
325,Altsasu/Alsasua,
326,Améscoa Baja,
327,Ancín/Antzin,
328,Andosilla,
329,Ansoáin/Antsoain,
330,Anue,
331,Añorbe,
332,Aoiz/Agoitz,
333,Araitz,
334,Arakil,
335,Aranarache/Aranaratxe,
336,Aranguren,
337,Arano,
338,Arantza,
339,Aras,
340,Arbizu,
341,Arce/Artzi,
342,"Arcos, Los",
343,Arellano,
344,Areso,
345,Arguedas,
346,Aria,
347,Aribe,
348,Armañanza,
349,Arróniz,
350,Arruazu,
351,Artajona,
352,Artazu,
353,Atez,
354,Auritz/Burguete,
355,Ayegui/Aiegi,
356,Azagra,
357,Azuelo,
358,Bakaiku,
359,Barañain,
360,Barásoain,
361,Barbarin,
362,Bargota,
363,Barillas,
364,Basaburua,
365,Baztan,
366,Beintza-Labaien,
367,Beire,
368,Belascoáin,
369,Bera,
370,Berbinzana,
371,Beriái,
372,Berrioplano,
373,Berriozar,
374,Bertizarana,
375,Betelu,
376,Bidaurreta,
377,Biurrun-Olcoz,
378,Buñuel,
379,Burgui/Burgi,
380,Burlada/Burlata,
381,"Busto, El",
382,Cabanillas,
383,Cabredo,
384,Cadreita,
385,Caparroso,
386,Cárcar,
387,Carcastillo,
388,Cascante,
389,Cáseda,
390,Castejón,
391,Castillonuevo,
392,Cendea de Olza/Oltza Zendea,
393,Cintruénigo,
394,Cirauqui/Zirauki,
395,Ciriza,
396,Cizur,
397,Corella,
398,Cortes,
399,Desojo,
400,Dicastillo,
401,Donamaria,
402,Doneztebe/Santesteban,
403,Echarri,
404,Egües,
405,Elgorriaga,
406,Enériz/Eneritz,
407,Eratsun,
408,Ergoiena,
409,Erro,
410,Eslava,
411,Esparza de Salazar/Espartza Zaraitzu,
412,Espronceda,
413,Estella/Lizarra,
414,Esteribar,
415,Etayo,
416,Etxalar,
417,Etxarri-Aranatz,
418,Etxauri,
419,Eulate,
420,Ezcabarte,
421,Ezcároz/Ezkaroze,
422,Ezkurra,
423,Ezprogui,
424,Falces,
425,Fitero,
426,Fontellas,
427,Funes,
428,Fustiñan,
429,Galar,
430,Gallipienzo/Galipentzu,
431,Gallués/Galoze,
432,Garaioa,
433,Garde,
434,Garínoain,
435,Garralda,
436,Genevilla,
437,Goizueta,
438,Goñi,
439,Güesa/Gorz,
440,Guesálaz/Gesalat,
441,Guirguillano,
442,Hiriberri/Villanueva de Aezkoa,
443,Huarte/Uharte,
444,Ibargoiti,
445,Igantzi,
446,Igúzquiza,
447,Imotz,
448,Irañeta,
449,Irurtzun,
450,Isaba/Izaba,
451,Ituren,
452,Iturmendi,
453,Iza/Itza,
454,Izagaondoa,
455,Izalzu/Itzaltzu,
456,Jaurrieta,
457,Javier,
458,Juslapeñ,
459,Lakuntza,
460,Lana,
461,Lantz,
462,Lapoblación,
463,Larraga,
464,Larraona,
465,Larraun,
466,Lazagurría,
467,Leache,
468,Legarda,
469,Legaria,
470,Leitza,
471,Lekunberri,
472,Leoz/Leotz,
473,Lerga,
474,Lerí,
475,Lesaka,
476,Lezáun,
477,Liédena,
478,Lizoáin-Arriasgoiti,
479,Lodosa,
480,Lónguida/Longida,
481,Lumbier,
482,Luquin,
483,Luzaide/Valcarlos,
484,Mañeru,
485,Marañón,
486,Marcilla,
487,Mélida,
488,Mendavia,
489,Mendaza,
490,Mendigorrí,
491,Metauten,
492,Milagro,
493,Mirafuentes,
494,Miranda de Arga,
495,Monreal,
496,Monteagudo,
497,Morentin,
498,Mues,
499,Murchante,
500,Murieta,
501,Murillo el Cuende,
502,Murillo el Fruto,
503,Muruzábal,
504,Navascués,
505,Nazar,
506,Noáin (Valle de Elorz)/Noain (Elortzibar),
507,Obanos,
508,Ochagavía/Otsagabi,
509,Oco,
510,Odieta,
511,Oitz,
512,Olaibar,
513,Olazti/Olazagutía,
514,Olejua,
515,Olite/Erriberri,
516,Ollo,
517,Olóriz/Oloritz,
518,Orbaitzeta,
